strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,22977,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23035,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23076,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23224,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23392,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23750,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,23789,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,24049,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,24223,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,24593,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
1197,24614,UGRD,4093,Burnaby Campus,100,1,0,1,0,0,0,0,0,4093,NULL
